VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE1.x, in_ATTRIBUTE1.y, in_ATTRIBUTE1.z, in_ATTRIBUTE1.w, in_ATTRIBUTE2.x, in_ATTRIBUTE2.y, in_ATTRIBUTE2.z, in_ATTRIBUTE2.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE8.x, in_ATTRIBUTE8.y, in_ATTRIBUTE8.z, in_ATTRIBUTE8.w, in_ATTRIBUTE9.x, in_ATTRIBUTE9.y, in_ATTRIBUTE9.z, in_ATTRIBUTE9.w, in_ATTRIBUTE10.x, in_ATTRIBUTE10.y, in_ATTRIBUTE10.z, in_ATTRIBUTE10.w, in_ATTRIBUTE11.x, in_ATTRIBUTE11.y, in_ATTRIBUTE11.z, in_ATTRIBUTE11.w
0, 0,  448.49683,  430.4837,  78.21193,  1.00,  0.00, -0.08661,  1.00,  0.08661,  0.11811,  0.99213,  1.00,  0.86475,  0.8501,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
1, 1,  377.67822,  465.5192,  37.45274,  0.99213,  0.00, -0.13386,  1.00,  0.11811,  0.48031,  0.86614,  1.00,  0.80713,  0.87891,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
2, 2,  407.21811,  466.28552,  34.04678,  0.99213,  0.00787,  0.12598,  1.00, -0.11811,  0.45669,  0.88189,  1.00,  0.83154,  0.87939,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
3, 3,  402.85226,  424.36588,  84.29991,  0.93701, -0.02362, -0.33858,  1.00,  0.31496,  0.44882,  0.83465,  1.00,  0.82764,  0.84521,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
4, 1,  377.67822,  465.5192,  37.45274,  0.99213,  0.00, -0.13386,  1.00,  0.11811,  0.48031,  0.86614,  1.00,  0.80713,  0.87891,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
5, 0,  448.49683,  430.4837,  78.21193,  1.00,  0.00, -0.08661,  1.00,  0.08661,  0.11811,  0.99213,  1.00,  0.86475,  0.8501,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
6, 4,  426.07486,  413.90344,  68.83507,  0.96063,  0.00787, -0.27559,  1.00,  0.25984, -0.33071,  0.90551,  1.00,  0.84668,  0.83691,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
7, 3,  402.85226,  424.36588,  84.29991,  0.93701, -0.02362, -0.33858,  1.00,  0.31496,  0.44882,  0.83465,  1.00,  0.82764,  0.84521,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
8, 0,  448.49683,  430.4837,  78.21193,  1.00,  0.00, -0.08661,  1.00,  0.08661,  0.11811,  0.99213,  1.00,  0.86475,  0.8501,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
9, 5,  440.0192,  387.75986,  60.52097,  0.90551,  0.00, -0.41732,  1.00,  0.41732, -0.15748,  0.89764,  1.00,  0.85791,  0.81543,  113622.53125,  238200.00,  0.00,  0.72171, -1.24609, -0.0871,  0.00,  0.00,  0.0871, -1.24609,  0.00,  0.00,  0.00,  0.00,  1.25,  0.00
