VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w
0, 226, -1.1825,  16.8944,  0.8288,  0.16745,  0.83255,  0.00,  0.00, 2, 15, 15, 15
1, 231, -1.1798,  16.8701,  0.7877,  0.19105,  0.80895,  0.00,  0.00, 2, 15, 15, 15
2, 232, -1.0379,  16.9168,  0.7794,  0.17811,  0.82189,  0.00,  0.00, 2, 15, 15, 15
3, 232, -1.0379,  16.9168,  0.7794,  0.17811,  0.82189,  0.00,  0.00, 2, 15, 15, 15
4, 225, -1.0336,  16.9284,  0.8235,  0.15423,  0.84577,  0.00,  0.00, 2, 15, 15, 15
5, 226, -1.1825,  16.8944,  0.8288,  0.16745,  0.83255,  0.00,  0.00, 2, 15, 15, 15
6, 231, -1.1798,  16.8701,  0.7877,  0.19105,  0.80895,  0.00,  0.00, 2, 15, 15, 15
7, 246, -1.3066,  16.812,  0.834,  1.00,  0.00,  0.00,  0.00, 15, 15, 15, 15
8, 247, -1.3236,  16.8379,  0.7893,  0.21157,  0.78843,  0.00,  0.00, 2, 15, 15, 15
9, 247, -1.3236,  16.8379,  0.7893,  0.21157,  0.78843,  0.00,  0.00, 2, 15, 15, 15
10, 234, -1.1931,  16.8924,  0.7494,  0.21533,  0.78467,  0.00,  0.00, 2, 15, 15, 15
11, 231, -1.1798,  16.8701,  0.7877,  0.19105,  0.80895,  0.00,  0.00, 2, 15, 15, 15
12, 231, -1.1798,  16.8701,  0.7877,  0.19105,  0.80895,  0.00,  0.00, 2, 15, 15, 15
13, 234, -1.1931,  16.8924,  0.7494,  0.21533,  0.78467,  0.00,  0.00, 2, 15, 15, 15
14, 233, -1.0575,  16.9424,  0.7335,  0.2057,  0.7943,  0.00,  0.00, 2, 15, 15, 15
15, 233, -1.0575,  16.9424,  0.7335,  0.2057,  0.7943,  0.00,  0.00, 2, 15, 15, 15
16, 232, -1.0379,  16.9168,  0.7794,  0.17811,  0.82189,  0.00,  0.00, 2, 15, 15, 15
17, 231, -1.1798,  16.8701,  0.7877,  0.19105,  0.80895,  0.00,  0.00, 2, 15, 15, 15
18, 170,  1.4417,  16.9875,  0.591,  0.35414,  0.64586,  0.00,  0.00, 9, 15, 15, 15
19, 169,  1.4218,  16.9607,  0.6376,  0.322,  0.678,  0.00,  0.00, 9, 15, 15, 15
20, 152,  1.2817,  17.002,  0.6029,  0.31527,  0.68473,  0.00,  0.00, 9, 15, 15, 15
21, 151,  1.262,  16.9867,  0.6606,  0.27636,  0.72364,  0.00,  0.00, 9, 15, 15, 15
22, 152,  1.2817,  17.002,  0.6029,  0.31527,  0.68473,  0.00,  0.00, 9, 15, 15, 15
23, 169,  1.4218,  16.9607,  0.6376,  0.322,  0.678,  0.00,  0.00, 9, 15, 15, 15
24, 152,  1.2817,  17.002,  0.6029,  0.31527,  0.68473,  0.00,  0.00, 9, 15, 15, 15
25, 153,  1.1455,  17.0534,  0.573,  0.30752,  0.69248,  0.00,  0.00, 9, 15, 15, 15
26, 155,  1.1657,  17.0812,  0.5263,  0.33599,  0.66401,  0.00,  0.00, 9, 15, 15, 15
27, 150,  1.128,  17.0376,  0.6281,  0.27283,  0.72717,  0.00,  0.00, 9, 15, 15, 15
28, 153,  1.1455,  17.0534,  0.573,  0.30752,  0.69248,  0.00,  0.00, 9, 15, 15, 15
29, 152,  1.2817,  17.002,  0.6029,  0.31527,  0.68473,  0.00,  0.00, 9, 15, 15, 15
30, 152,  1.2817,  17.002,  0.6029,  0.31527,  0.68473,  0.00,  0.00, 9, 15, 15, 15
31, 151,  1.262,  16.9867,  0.6606,  0.27636,  0.72364,  0.00,  0.00, 9, 15, 15, 15
32, 150,  1.128,  17.0376,  0.6281,  0.27283,  0.72717,  0.00,  0.00, 9, 15, 15, 15
33, 169,  1.4218,  16.9607,  0.6376,  0.322,  0.678,  0.00,  0.00, 9, 15, 15, 15
34, 168,  1.4034,  16.946,  0.691,  0.28369,  0.71631,  0.00,  0.00, 9, 15, 15, 15
35, 151,  1.262,  16.9867,  0.6606,  0.27636,  0.72364,  0.00,  0.00, 9, 15, 15, 15
36, 1724, -1.808,  17.2687, -0.0814,  0.62767,  0.37233,  0.00,  0.00, 2, 15, 15, 15
37, 1731, -1.5812,  17.1391,  0.4454,  0.43654,  0.56346,  0.00,  0.00, 2, 15, 15, 15
38, 1730, -1.5894,  17.1837,  0.4505,  0.43654,  0.56346,  0.00,  0.00, 2, 15, 15, 15
39, 1767, -1.6193,  17.1983, -0.1008,  0.61581,  0.38419,  0.00,  0.00, 2, 15, 15, 15
40, 1724, -1.808,  17.2687, -0.0814,  0.62767,  0.37233,  0.00,  0.00, 2, 15, 15, 15
41, 1720, -1.7213,  17.0857, -0.7128,  0.72016,  0.27984,  0.00,  0.00, 2, 15, 15, 15
42, 1731, -1.5812,  17.1391,  0.4454,  0.43654,  0.56346,  0.00,  0.00, 2, 15, 15, 15
