VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w
0, 794,  0.44009,  18.67843,  0.92751,  0.3141,  0.6859,  0.00,  0.00, 0, 2, 2, 2
1, 797,  0.41337,  18.70443,  0.91034,  0.05,  0.95,  0.00,  0.00, 0, 2, 2, 2
2, 796,  0.45674,  18.68449,  0.87417,  0.20,  0.80,  0.00,  0.00, 0, 2, 2, 2
3, 796,  0.45674,  18.68449,  0.87417,  0.20,  0.80,  0.00,  0.00, 0, 2, 2, 2
4, 795,  0.46814,  18.66486,  0.89883,  0.50,  0.50,  0.00,  0.00, 0, 2, 2, 2
5, 794,  0.44009,  18.67843,  0.92751,  0.3141,  0.6859,  0.00,  0.00, 0, 2, 2, 2
6, 815, -0.44009,  18.67843,  0.92751,  0.3141,  0.6859,  0.00,  0.00, 0, 1, 1, 1
7, 818, -0.46814,  18.66486,  0.89883,  0.50,  0.50,  0.00,  0.00, 0, 1, 1, 1
8, 817, -0.45674,  18.68449,  0.87417,  0.20,  0.80,  0.00,  0.00, 0, 1, 1, 1
9, 817, -0.45674,  18.68449,  0.87417,  0.20,  0.80,  0.00,  0.00, 0, 1, 1, 1
10, 816, -0.41337,  18.70443,  0.91034,  0.05,  0.95,  0.00,  0.00, 0, 1, 1, 1
11, 815, -0.44009,  18.67843,  0.92751,  0.3141,  0.6859,  0.00,  0.00, 0, 1, 1, 1
12, 793,  0.41337,  18.70443,  0.91034,  0.05,  0.95,  0.00,  0.00, 0, 2, 2, 2
13, 782,  0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 2, 2, 2
14, 783,  0.38438,  18.71841,  0.92977,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
15, 782,  0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 2, 2, 2
16, 793,  0.41337,  18.70443,  0.91034,  0.05,  0.95,  0.00,  0.00, 0, 2, 2, 2
17, 792,  0.44009,  18.67843,  0.92751,  0.3141,  0.6859,  0.00,  0.00, 0, 2, 2, 2
18, 780,  0.34348,  18.71501,  0.96225,  0.0975,  0.9025,  0.00,  0.00, 0, 2, 2, 2
19, 819,  0.38438,  18.71841,  0.92977,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
20, 820,  0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 2, 2, 2
21, 820,  0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 2, 2, 2
22, 781,  0.34851,  18.70957,  0.98558,  0.0975,  0.9025,  0.00,  0.00, 0, 2, 2, 2
23, 780,  0.34348,  18.71501,  0.96225,  0.0975,  0.9025,  0.00,  0.00, 0, 2, 2, 2
24, 803, -0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 1, 1, 1
25, 814, -0.41337,  18.70443,  0.91034,  0.05,  0.95,  0.00,  0.00, 0, 1, 1, 1
26, 802, -0.38438,  18.7184,  0.92977,  1.00,  0.00,  0.00,  0.00, 1, 1, 1, 1
27, 814, -0.41337,  18.70443,  0.91034,  0.05,  0.95,  0.00,  0.00, 0, 1, 1, 1
28, 803, -0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 1, 1, 1
29, 813, -0.44009,  18.67843,  0.92751,  0.3141,  0.6859,  0.00,  0.00, 0, 1, 1, 1
30, 801, -0.34348,  18.71501,  0.96224,  0.0975,  0.9025,  0.00,  0.00, 0, 1, 1, 1
31, 804, -0.34851,  18.70957,  0.98558,  0.0975,  0.9025,  0.00,  0.00, 0, 1, 1, 1
32, 821, -0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 1, 1, 1
33, 821, -0.40196,  18.69415,  0.95772,  0.18549,  0.81451,  0.00,  0.00, 0, 1, 1, 1
34, 822, -0.38438,  18.7184,  0.92977,  1.00,  0.00,  0.00,  0.00, 1, 1, 1, 1
35, 801, -0.34348,  18.71501,  0.96224,  0.0975,  0.9025,  0.00,  0.00, 0, 1, 1, 1
36, 315,  0.22775,  18.68478,  0.96338,  0.42232,  0.57768,  0.00,  0.00, 0, 2, 2, 2
37, 314,  0.25715,  18.70082,  0.99853,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
38, 313,  0.2553,  18.7075,  0.97725,  0.15636,  0.84364,  0.00,  0.00, 0, 2, 2, 2
39, 678, -0.25715,  18.70081,  0.99853,  0.27668,  0.72332,  0.00,  0.00, 0, 1, 1, 1
40, 677, -0.22775,  18.68478,  0.96338,  0.42232,  0.57768,  0.00,  0.00, 0, 1, 1, 1
41, 676, -0.2553,  18.70749,  0.97725,  0.15636,  0.84364,  0.00,  0.00, 0, 1, 1, 1
42, 784,  0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 2, 2, 2
43, 787,  0.34348,  18.71501,  0.96225,  0.0975,  0.9025,  0.00,  0.00, 0, 2, 2, 2
44, 786,  0.34851,  18.70957,  0.98558,  0.0975,  0.9025,  0.00,  0.00, 0, 2, 2, 2
45, 786,  0.34851,  18.70957,  0.98558,  0.0975,  0.9025,  0.00,  0.00, 0, 2, 2, 2
46, 785,  0.28942,  18.70802,  1.00336,  0.18775,  0.81225,  0.00,  0.00, 0, 2, 2, 2
47, 784,  0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 2, 2, 2
48, 805, -0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 1, 1, 1
49, 808, -0.28942,  18.70802,  1.00336,  0.18775,  0.81225,  0.00,  0.00, 0, 1, 1, 1
50, 807, -0.34851,  18.70957,  0.98558,  0.0975,  0.9025,  0.00,  0.00, 0, 1, 1, 1
51, 807, -0.34851,  18.70957,  0.98558,  0.0975,  0.9025,  0.00,  0.00, 0, 1, 1, 1
52, 806, -0.34348,  18.71501,  0.96224,  0.0975,  0.9025,  0.00,  0.00, 0, 1, 1, 1
53, 805, -0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 1, 1, 1
54, 809, -0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 1, 1, 1
55, 812, -0.2553,  18.70597,  0.97725,  0.27668,  0.72332,  0.00,  0.00, 0, 1, 1, 1
56, 811, -0.25715,  18.69929,  0.99853,  0.27668,  0.72332,  0.00,  0.00, 0, 1, 1, 1
57, 811, -0.25715,  18.69929,  0.99853,  0.27668,  0.72332,  0.00,  0.00, 0, 1, 1, 1
58, 810, -0.28942,  18.70802,  1.00336,  0.18775,  0.81225,  0.00,  0.00, 0, 1, 1, 1
59, 809, -0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 1, 1, 1
60, 788,  0.28541,  18.71419,  0.97633,  0.18775,  0.81225,  0.00,  0.00, 0, 2, 2, 2
61, 791,  0.28942,  18.70802,  1.00336,  0.18775,  0.81225,  0.00,  0.00, 0, 2, 2, 2
62, 790,  0.25715,  18.69929,  0.99853,  0.27668,  0.72332,  0.00,  0.00, 0, 2, 2, 2
63, 790,  0.25715,  18.69929,  0.99853,  0.27668,  0.72332,  0.00,  0.00, 0, 2, 2, 2
64, 789,  0.2553,  18.70597,  0.97725,  0.27668,  0.72332,  0.00,  0.00, 0, 2, 2, 2
