VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w
0, 456, -2.3179,  0.3136,  1.6161,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
1, 434, -2.4149,  0.329,  1.8294,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
2, 444, -2.2556,  0.2184,  1.8527,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
3, 494, -2.1801,  0.1183,  1.9231,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
4, 444, -2.2556,  0.2184,  1.8527,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
5, 517, -2.2887,  0.2264,  1.9916,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
6, 444, -2.2556,  0.2184,  1.8527,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
7, 445, -2.394,  0.3514,  2.0467,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
8, 517, -2.2887,  0.2264,  1.9916,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
9, 445, -2.394,  0.3514,  2.0467,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
10, 444, -2.2556,  0.2184,  1.8527,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
11, 434, -2.4149,  0.329,  1.8294,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
12, 528, -2.1846, -0.0243,  2.043,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
13, 494, -2.1801,  0.1183,  1.9231,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
14, 517, -2.2887,  0.2264,  1.9916,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
15, 494, -2.1801,  0.1183,  1.9231,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
16, 528, -2.1846, -0.0243,  2.043,  1.00,  0.00,  0.00,  0.00, 2, 2, 2, 2
