VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w, texcoord0.x, texcoord0.y
0, 6026,  0.24642,  16.9956, -2.99953,  1.00,  0.00,  0.00,  0.00, 5, 5, 5, 5,  0.41565,  0.77497
1, 6063,  0.05444,  16.86535, -3.18577,  1.00,  0.00,  0.00,  0.00, 5, 5, 5, 5,  0.43157,  0.7821
2, 6025,  0.18488,  17.02434, -2.9522,  1.00,  0.00,  0.00,  0.00, 5, 5, 5, 5,  0.41658,  0.806
3, 2987, -0.1809,  20.76024,  0.35341,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00753,  0.75887
4, 2990, -0.11658,  20.67675,  0.23983,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00657,  0.75887
5, 2989, -0.14959,  20.68866,  0.22299,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00657,  0.83481
6, 2989, -0.14959,  20.68866,  0.22299,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00657,  0.83481
7, 2988, -0.22289,  20.76685,  0.32273,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00753,  0.83481
8, 2987, -0.1809,  20.76024,  0.35341,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00753,  0.75887
9, 2991, -0.25091,  20.87236,  0.46174,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.01304,  0.75887
10, 2987, -0.1809,  20.76024,  0.35341,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00753,  0.75887
11, 2988, -0.22289,  20.76685,  0.32273,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00753,  0.83481
12, 2988, -0.22289,  20.76685,  0.32273,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.00753,  0.83481
13, 2992, -0.31232,  20.87617,  0.43213,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0,  0.01304,  0.83481
