VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w
0, 1045, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
1, 1046, -1.70530E-13,  20.2414,  0.3557,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
2, 1083, -0.1057,  20.238,  0.3183,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
3, 1087, -1.70530E-13,  20.2414,  0.3557,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
4, 1088, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
5, 1044,  0.1057,  20.238,  0.3183,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
6, 1045, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
7, 1086, -0.1081,  20.2327, -0.0065,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
8, 1050, -1.70530E-13,  20.2349, -0.0457,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
9, 1045, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
10, 1085, -0.1802,  20.2325,  0.0945,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
11, 1086, -0.1081,  20.2327, -0.0065,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
12, 1045, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
13, 1084, -0.1793,  20.2346,  0.2185,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
14, 1085, -0.1802,  20.2325,  0.0945,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
15, 1045, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
16, 1083, -0.1057,  20.238,  0.3183,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
17, 1084, -0.1793,  20.2346,  0.2185,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
18, 1049,  0.1081,  20.2327, -0.0065,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
19, 1088, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
20, 1089, -1.70530E-13,  20.2349, -0.0457,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
21, 1048,  0.1802,  20.2325,  0.0945,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
22, 1088, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
23, 1049,  0.1081,  20.2327, -0.0065,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
24, 1047,  0.1793,  20.2346,  0.2185,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
25, 1088, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
26, 1048,  0.1802,  20.2325,  0.0945,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
27, 1044,  0.1057,  20.238,  0.3183,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
28, 1088, -1.70530E-13,  20.2252,  0.1553,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
29, 1047,  0.1793,  20.2346,  0.2185,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
30, 330,  0.5905,  20.6286,  0.6627,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
31, 251,  0.548,  20.5681,  0.7434,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
32, 250,  0.5437,  20.5864,  0.7492,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
33, 250,  0.5437,  20.5864,  0.7492,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
34, 251,  0.548,  20.5681,  0.7434,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
35, 248,  0.566,  20.5061,  0.7836,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
36, 170,  0.5432,  20.1116,  0.8738,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
37, 235,  0.619,  20.2254,  0.8186,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
38, 230,  0.6822,  20.2171,  0.7941,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
39, 167,  0.4257,  19.9705,  0.9336,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
40, 168,  0.4958,  19.9526,  0.9376,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
41, 179,  0.461,  19.8778,  0.9806,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
42, 849, -0.4314,  20.068,  0.49,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
43, 842, -0.4101,  20.14,  0.4216,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
44, 840, -0.2979,  20.1568,  0.448,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
45, 842, -0.4101,  20.14,  0.4216,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
46, 841, -0.3705,  20.1967,  0.4076,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
47, 840, -0.2979,  20.1568,  0.448,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
48, 431,  0.3705,  20.1967,  0.4076,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
49, 430,  0.4101,  20.14,  0.4216,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
50, 429,  0.2979,  20.1568,  0.448,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
51, 430,  0.4101,  20.14,  0.4216,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
52, 438,  0.4314,  20.068,  0.49,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
53, 429,  0.2979,  20.1568,  0.448,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
54, 852, -0.6632,  20.0277,  0.2312,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
55, 851, -0.5994,  19.9732,  0.3456,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
56, 850, -0.6726,  19.8926,  0.3315,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
57, 441,  0.5994,  19.9732,  0.3456,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
58, 440,  0.6632,  20.0277,  0.2312,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
59, 439,  0.6726,  19.8926,  0.3315,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
