VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w
0, 1407,  4.2441,  9.4201,  0.9482,  0.28182,  0.71818,  0.00,  0.00, 27, 28, 28, 28
1, 1404,  4.3661,  9.6075,  0.9159,  0.14807,  0.85193,  0.00,  0.00, 26, 27, 27, 27
2, 1409,  4.4028,  9.5696,  0.8408,  0.15029,  0.84971,  0.00,  0.00, 26, 27, 27, 27
3, 1404,  4.3661,  9.6075,  0.9159,  0.14807,  0.85193,  0.00,  0.00, 26, 27, 27, 27
4, 1407,  4.2441,  9.4201,  0.9482,  0.28182,  0.71818,  0.00,  0.00, 27, 28, 28, 28
5, 1408,  4.2483,  9.4289,  1.0228,  0.35143,  0.64857,  0.00,  0.00, 27, 28, 28, 28
6, 1408,  4.2483,  9.4289,  1.0228,  0.35143,  0.64857,  0.00,  0.00, 27, 28, 28, 28
7, 1399,  4.3775,  9.619,  1.0038,  0.20,  0.80,  0.00,  0.00, 26, 27, 27, 27
8, 1404,  4.3661,  9.6075,  0.9159,  0.14807,  0.85193,  0.00,  0.00, 26, 27, 27, 27
9, 1413,  4.4751,  9.5764,  0.8196,  0.20,  0.80,  0.00,  0.00, 26, 27, 27, 27
10, 1409,  4.4028,  9.5696,  0.8408,  0.15029,  0.84971,  0.00,  0.00, 26, 27, 27, 27
11, 1410,  4.4281,  9.6271,  0.8266,  0.16804,  0.83196,  0.00,  0.00, 26, 27, 27, 27
12, 1409,  4.4028,  9.5696,  0.8408,  0.15029,  0.84971,  0.00,  0.00, 26, 27, 27, 27
13, 1413,  4.4751,  9.5764,  0.8196,  0.20,  0.80,  0.00,  0.00, 26, 27, 27, 27
14, 1830,  4.4386,  9.5162,  0.8345,  1.00,  0.00,  0.00,  0.00, 27, 27, 27, 27
15, 1829,  4.3376,  9.3798,  0.8664,  0.62388,  0.37612,  0.00,  0.00, 27, 28, 28, 28
16, 1412,  4.2798,  9.3853,  0.877,  0.35933,  0.64067,  0.00,  0.00, 27, 28, 28, 28
17, 1409,  4.4028,  9.5696,  0.8408,  0.15029,  0.84971,  0.00,  0.00, 26, 27, 27, 27
18, 1409,  4.4028,  9.5696,  0.8408,  0.15029,  0.84971,  0.00,  0.00, 26, 27, 27, 27
19, 1830,  4.4386,  9.5162,  0.8345,  1.00,  0.00,  0.00,  0.00, 27, 27, 27, 27
20, 1829,  4.3376,  9.3798,  0.8664,  0.62388,  0.37612,  0.00,  0.00, 27, 28, 28, 28
21, 1409,  4.4028,  9.5696,  0.8408,  0.15029,  0.84971,  0.00,  0.00, 26, 27, 27, 27
22, 1412,  4.2798,  9.3853,  0.877,  0.35933,  0.64067,  0.00,  0.00, 27, 28, 28, 28
23, 1407,  4.2441,  9.4201,  0.9482,  0.28182,  0.71818,  0.00,  0.00, 27, 28, 28, 28
24, 1411,  4.2495,  9.3445,  0.8855,  0.16309,  0.83691,  0.00,  0.00, 27, 28, 28, 28
25, 1406,  4.2158,  9.3787,  0.9544,  0.12242,  0.87758,  0.00,  0.00, 27, 28, 28, 28
26, 1407,  4.2441,  9.4201,  0.9482,  0.28182,  0.71818,  0.00,  0.00, 27, 28, 28, 28
