VTX, IDX, position.x, position.y, position.z, blendWeights.x, blendWeights.y, blendWeights.z, blendWeights.w, blendIndices.x, blendIndices.y, blendIndices.z, blendIndices.w
0, 913,  1.3138,  14.8951, -1.9704,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
1, 911,  1.1512,  14.8327, -2.0431,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
2, 889,  1.2713,  14.9029, -2.0533,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
3, 792,  0.9918,  14.6588, -2.1547,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
4, 787,  1.0158,  14.7037, -2.1821,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
5, 900,  1.1178,  14.6497, -2.1639,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
6, 900,  1.1178,  14.6497, -2.1639,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
7, 787,  1.0158,  14.7037, -2.1821,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
8, 788,  1.0397,  14.7334, -2.1611,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
9, 787,  1.0158,  14.7037, -2.1821,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
10, 792,  0.9918,  14.6588, -2.1547,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
11, 791,  0.8632,  14.7256, -2.112,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
12, 791,  0.8632,  14.7256, -2.112,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
13, 792,  0.9918,  14.6588, -2.1547,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
14, 892,  0.9183,  14.711, -2.059,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
15, 892,  0.9183,  14.711, -2.059,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
16, 792,  0.9918,  14.6588, -2.1547,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
17, 900,  1.1178,  14.6497, -2.1639,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
18, 890,  0.9783,  14.7464, -2.0195,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
19, 952,  1.1178,  14.6497, -2.1639,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
20, 789,  1.0575,  14.7368, -2.1179,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
21, 890,  0.9783,  14.7464, -2.0195,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
22, 891,  0.9183,  14.711, -2.059,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
23, 952,  1.1178,  14.6497, -2.1639,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
24, 788,  1.0397,  14.7334, -2.1611,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
25, 789,  1.0575,  14.7368, -2.1179,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
26, 900,  1.1178,  14.6497, -2.1639,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
27, 789,  1.0575,  14.7368, -2.1179,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
28, 782,  1.0187,  14.8668, -2.0636,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
29, 890,  0.9783,  14.7464, -2.0195,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
30, 856,  0.924,  14.8266, -1.9488,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
31, 890,  0.9783,  14.7464, -2.0195,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
32, 782,  1.0187,  14.8668, -2.0636,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
33, 782,  1.0187,  14.8668, -2.0636,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
34, 783,  1.0043,  14.9936, -2.016,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
35, 856,  0.924,  14.8266, -1.9488,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
36, 856,  0.924,  14.8266, -1.9488,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
37, 783,  1.0043,  14.9936, -2.016,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
38, 838,  1.054,  15.156, -1.9797,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
39, 838,  1.054,  15.156, -1.9797,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
40, 775,  1.2591,  15.1787, -2.0246,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
41, 776,  1.1767,  15.1054, -1.9368,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
42, 857,  1.034,  15.0836, -1.8931,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
43, 838,  1.054,  15.156, -1.9797,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
44, 776,  1.1767,  15.1054, -1.9368,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
45, 838,  1.054,  15.156, -1.9797,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
46, 857,  1.034,  15.0836, -1.8931,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
47, 856,  0.924,  14.8266, -1.9488,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
48, 856,  0.924,  14.8266, -1.9488,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
49, 904,  0.8414,  14.9388, -1.8778,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
50, 866,  0.7397,  14.8199, -1.9505,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
51, 856,  0.924,  14.8266, -1.9488,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
52, 953,  1.034,  15.0836, -1.8931,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
53, 904,  0.8414,  14.9388, -1.8778,  1.00,  0.00,  0.00,  0.00, 0, 0, 0, 0
