VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 783, -25.0377,  4.72256, -25.28348, -0.84422,  0.39614, -0.36106,  0.68172,  0.21772,  0.68172,  0.21772
1, 782, -25.35062,  5.09848, -24.13936, -0.84422,  0.39614, -0.36106,  0.75612,  0.21003,  0.75612,  0.21003
2, 777, -23.81309,  8.198, -24.3337, -0.84422,  0.39614, -0.36106,  0.75612,  0.00,  0.75612,  0.00
3, 760, -23.16053,  6.19909, -25.45252,  0.26778,  0.39158, -0.88032,  0.87781,  0.74266,  0.87781,  0.74266
4, 774, -24.14279,  6.57014, -25.58626,  0.26778,  0.39158, -0.88032,  0.84106,  0.78392,  0.84106,  0.78392
5, 759, -23.81309,  9.16058, -24.3337,  0.26778,  0.39158, -0.88032,  0.94103,  0.92753,  0.94103,  0.92753
6, 761, -23.3718,  7.80924, -25.23107,  0.19552,  0.3936, -0.89825,  0.11119,  0.87087,  0.11119,  0.87087
7, 763, -24.13559,  8.07635, -25.28028,  0.19552,  0.3936, -0.89825,  0.09132,  0.90621,  0.09132,  0.90621
8, 776, -23.81309,  10.07635, -24.3337,  0.19552,  0.3936, -0.89825,  0.18899,  0.99901,  0.18899,  0.99901
9, 784, -24.00743,  5.09848, -25.87123, -0.55976,  0.39614, -0.72784,  0.6305,  0.16849,  0.6305,  0.16849
10, 10146, -25.0377,  4.72256, -25.28348, -0.55976,  0.39614, -0.72784,  0.68172,  0.21772,  0.68172,  0.21772
11, 10147, -23.81309,  8.198, -24.3337, -0.55976,  0.39614, -0.72784,  0.75612,  0.00,  0.75612,  0.00
12, 762, -22.56053,  6.57014, -24.6634,  0.63441,  0.39158, -0.66648,  0.94103,  0.75321,  0.94103,  0.75321
13, 10148, -23.16053,  6.19909, -25.45252,  0.63441,  0.39158, -0.66648,  0.87781,  0.74266,  0.87781,  0.74266
14, 10149, -23.81309,  9.16058, -24.3337,  0.63441,  0.39158, -0.66648,  0.94103,  0.92753,  0.94103,  0.92753
15, 10150, -24.13559,  8.07635, -25.28028, -0.71356,  0.39039, -0.58174,  0.99995,  0.15921,  0.99995,  0.15921
16, 765, -24.71046,  7.77855, -24.77499, -0.71356,  0.39039, -0.58174,  0.95125,  0.15119,  0.95125,  0.15119
17, 10151, -23.81309,  10.07635, -24.3337, -0.71356,  0.39039, -0.58174,  0.99995,  0.29477,  0.99995,  0.29477
18, 781, -24.76287,  4.64029, -23.10909, -0.38511,  0.39062,  0.83613,  0.42098,  0.53084,  0.42098,  0.53084
19, 780, -23.61875,  5.09848, -22.79618, -0.38511,  0.39062,  0.83613,  0.3734,  0.58262,  0.3734,  0.58262
20, 10152, -23.81309,  8.198, -24.3337, -0.38511,  0.39062,  0.83613,  0.49718,  0.75238,  0.49718,  0.75238
21, 764, -22.69427,  6.20865, -23.68114,  0.88101,  0.39235,  0.26434,  0.8722,  0.55718,  0.8722,  0.55718
22, 10153, -22.56053,  6.57014, -24.6634,  0.88101,  0.39235,  0.26434,  0.84421,  0.59164,  0.84421,  0.59164
23, 10154, -23.81309,  9.16058, -24.3337,  0.88101,  0.39235,  0.26434,  0.93129,  0.7423,  0.93129,  0.7423
24, 10155, -24.71046,  7.77855, -24.77499, -0.89639,  0.39039, -0.20997,  0.95125,  0.15119,  0.95125,  0.15119
25, 767, -24.75966,  8.07635, -24.01121, -0.89639,  0.39039, -0.20997,  0.91868,  0.18615,  0.91868,  0.18615
26, 10156, -23.81309,  10.07635, -24.3337, -0.89639,  0.39039, -0.20997,  0.99995,  0.29477,  0.99995,  0.29477
27, 10157, -23.61875,  5.09848, -22.79618,  0.55623,  0.39702,  0.73005,  0.30839,  0.71107,  0.30839,  0.71107
28, 779, -22.58848,  4.73581, -23.38392,  0.55623,  0.39702,  0.73005,  0.23517,  0.70023,  0.23517,  0.70023
