VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE3.x, in_ATTRIBUTE3.y, in_ATTRIBUTE3.z, in_ATTRIBUTE3.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE4.z, in_ATTRIBUTE4.w
0, 0,  3.26045,  13.73471,  110.90408, 4, 5, 0, 0,  0.70196,  0.29804,  0.00,  0.00
1, 1,  3.05058,  13.63387,  106.62911, 6, 4, 0, 0,  0.78824,  0.21176,  0.00,  0.00
2, 2,  3.41311,  14.01028,  106.28368, 6, 4, 0, 0,  0.78824,  0.21176,  0.00,  0.00
3, 3,  2.9675, -3.8929,  105.62438, 6, 4, 0, 0,  0.75294,  0.24706,  0.00,  0.00
4, 4, -0.00001, -4.22421,  105.61162, 6, 4, 0, 0,  0.75294,  0.24706,  0.00,  0.00
5, 5, -0.00001, -0.96067,  108.78681, 6, 4, 5, 0,  0.75294,  0.20392,  0.04314,  0.00
6, 6, -3.26049,  13.7347,  110.90408, 4, 5, 0, 0,  0.70196,  0.29804,  0.00,  0.00
7, 7, -3.41316,  14.01028,  106.28368, 6, 4, 5, 0,  0.75294,  0.20392,  0.04314,  0.00
8, 8, -3.05062,  13.63387,  106.62911, 6, 4, 5, 0,  0.75294,  0.20392,  0.04314,  0.00
9, 9, -2.96752, -3.8929,  105.62438, 6, 4, 0, 0,  0.75294,  0.24706,  0.00,  0.00
10, 10, -0.00001, -0.96067,  108.78681, 6, 4, 5, 0,  0.75294,  0.20392,  0.04314,  0.00
11, 11, -0.00001, -4.22421,  105.61162, 6, 4, 0, 0,  0.75294,  0.24706,  0.00,  0.00
12, 12, -0.00003,  12.81324,  133.53528, 0, 32, 0, 0,  0.5451,  0.4549,  0.00,  0.00
13, 13, -0.95683,  12.43968,  133.14056, 32, 0, 0, 0,  0.50588,  0.49412,  0.00,  0.00
14, 14, -0.00003,  14.86279,  131.62267, 32, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
15, 15,  0.95678,  12.43968,  133.14056, 32, 0, 0, 0,  0.50588,  0.49412,  0.00,  0.00
16, 16, -0.00003,  12.81324,  133.53528, 0, 32, 0, 0,  0.5451,  0.4549,  0.00,  0.00
17, 17, -0.00003,  14.86279,  131.62267, 32, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
18, 18,  2.00589,  6.05723,  140.53316, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
19, 19,  1.01799,  5.87969,  140.97118, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
20, 20,  1.01799,  6.14583,  140.95378, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
21, 21,  1.01799,  6.14583,  140.95378, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
22, 22,  2.00589,  6.32985,  140.51956, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
23, 23,  2.00589,  6.05723,  140.53316, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
24, 24,  2.92923,  6.28672,  139.94376, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
25, 25,  2.00589,  6.05723,  140.53316, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
26, 26,  2.00589,  6.32985,  140.51956, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
27, 27,  2.00589,  6.32985,  140.51956, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
28, 28,  2.92923,  6.56817,  139.93494, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
