VTX, IDX, in_ATTRIBUTE0.x, in_ATTRIBUTE0.y, in_ATTRIBUTE0.z, in_ATTRIBUTE1.x, in_ATTRIBUTE1.y, in_ATTRIBUTE1.z, in_ATTRIBUTE1.w, in_ATTRIBUTE2.x, in_ATTRIBUTE2.y, in_ATTRIBUTE2.z, in_ATTRIBUTE2.w, in_ATTRIBUTE3.x, in_ATTRIBUTE3.y, in_ATTRIBUTE3.z, in_ATTRIBUTE3.w, in_ATTRIBUTE4.x, in_ATTRIBUTE4.y, in_ATTRIBUTE4.z, in_ATTRIBUTE4.w, in_ATTRIBUTE5.x, in_ATTRIBUTE5.y, in_ATTRIBUTE13.x, in_ATTRIBUTE13.y, in_ATTRIBUTE13.z, in_ATTRIBUTE13.w
0, 10993,  0.03578, -5.73405,  153.80447,  0.99216,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
1, 10994,  0.50495, -5.43039,  152.7861,  0.76471,  0.64706,  0.10196,  0.50196,  0.72157,  0.05098,  0.48235,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.61914,  0.87402,  1.00,  1.00,  1.00,  1.00
2, 10995,  0.03578, -5.73368,  153.80115,  0.76863,  0.5451,  0.07843,  0.50196,  0.49804,  0.00,  0.44314,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.59375,  0.76807,  1.00,  1.00,  1.00,  1.00
3, 10996, -0.4334, -5.43039,  152.7861,  0.92549,  0.28235,  0.63529,  0.50196,  0.28627,  0.04706,  0.44706,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.61914,  0.87402,  1.00,  1.00,  1.00,  1.00
4, 10997, -1.15554, -5.05697,  152.48547,  0.93333,  0.29804,  0.63922,  0.50196,  0.31373,  0.03922,  0.41176,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.76172,  0.88086,  1.00,  1.00,  1.00,  1.00
5, 10993,  0.03578, -5.73405,  153.80447,  0.99216,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
6, 10996, -0.4334, -5.43039,  152.7861,  0.92549,  0.28235,  0.63529,  0.50196,  0.28627,  0.04706,  0.44706,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.61914,  0.87402,  1.00,  1.00,  1.00,  1.00
7, 10998, -0.44869, -5.16858,  151.40665,  0.92941,  0.28235,  0.62745,  0.50196,  0.29804,  0.04706,  0.41569,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.69287,  0.98047,  1.00,  1.00,  1.00,  1.00
8, 10997, -1.15554, -5.05697,  152.48547,  0.93333,  0.29804,  0.63922,  0.50196,  0.31373,  0.03922,  0.41176,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.76172,  0.88086,  1.00,  1.00,  1.00,  1.00
9, 10993,  0.03578, -5.73405,  153.80447,  0.99216,  0.47451,  0.55686,  0.50196,  0.49804,  0.03529,  0.3098,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.5918,  0.76709,  1.00,  1.00,  1.00,  1.00
10, 10997, -1.15554, -5.05697,  152.48547,  0.93333,  0.29804,  0.63922,  0.50196,  0.31373,  0.03922,  0.41176,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.76172,  0.88086,  1.00,  1.00,  1.00,  1.00
11, 10999, -1.21699, -5.2597,  153.39204,  0.9451,  0.32941,  0.64706,  0.50196,  0.38431,  0.04314,  0.32549,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00, -0.80518,  0.76709,  1.00,  1.00,  1.00,  1.00
