VTX, IDX, POSITION.x, POSITION.y, POSITION.z, TEXCOORD0.x, TEXCOORD0.y
0, 0, -0.11371,  0.23864, -0.04823,  0.03812,  0.18749
1, 1, -0.10394,  0.23928, -0.05321,  0.0417,  0.17954
2, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
3, 0, -0.11371,  0.23864, -0.04823,  0.03812,  0.18749
4, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
5, 3, -0.11545,  0.25049, -0.04362,  0.03372,  0.18557
6, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
7, 4, -0.11721,  0.26143, -0.03399,  0.02613,  0.1851
8, 3, -0.11545,  0.25049, -0.04362,  0.03372,  0.18557
9, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
10, 5, -0.10976,  0.26242, -0.03613,  0.02809,  0.18015
11, 4, -0.11721,  0.26143, -0.03399,  0.02613,  0.1851
12, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
13, 4, -0.11721,  0.26143, -0.03399,  0.02613,  0.1851
14, 5, -0.10976,  0.26242, -0.03613,  0.02809,  0.18015
15, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
16, 5, -0.10976,  0.26242, -0.03613,  0.02809,  0.18015
17, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
18, 8, -0.11217,  0.27898, -0.01055,  0.0108,  0.181
19, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
20, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
21, 8, -0.11217,  0.27898, -0.01055,  0.0108,  0.181
22, 9, -0.12185,  0.27444, -0.01069,  0.01065,  0.18724
23, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
24, 10, -0.12296,  0.25093, -0.03454,  0.02802,  0.19133
25, 3, -0.11545,  0.25049, -0.04362,  0.03372,  0.18557
26, 4, -0.11721,  0.26143, -0.03399,  0.02613,  0.1851
27, 10, -0.12296,  0.25093, -0.03454,  0.02802,  0.19133
28, 4, -0.11721,  0.26143, -0.03399,  0.02613,  0.1851
29, 11, -0.12141,  0.25869, -0.03131,  0.02489,  0.18859
30, 11, -0.12141,  0.25869, -0.03131,  0.02489,  0.18859
31, 4, -0.11721,  0.26143, -0.03399,  0.02613,  0.1851
32, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
33, 9, -0.12185,  0.27444, -0.01069,  0.01065,  0.18724
34, 12, -0.1241,  0.26563, -0.0221,  0.01763,  0.18907
35, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
36, 11, -0.12141,  0.25869, -0.03131,  0.02489,  0.18859
37, 6, -0.11991,  0.27011, -0.02257,  0.0177,  0.18621
38, 12, -0.1241,  0.26563, -0.0221,  0.01763,  0.18907
39, 9, -0.12185,  0.27444, -0.01069,  0.01065,  0.18724
40, 13, -0.12539,  0.26968, -0.01063,  0.01078,  0.1897
41, 12, -0.1241,  0.26563, -0.0221,  0.01763,  0.18907
42, 11, -0.12141,  0.25869, -0.03131,  0.02489,  0.18859
43, 12, -0.1241,  0.26563, -0.0221,  0.01763,  0.18907
44, 14, -0.12667,  0.25381, -0.02299,  0.02013,  0.19447
45, 11, -0.12141,  0.25869, -0.03131,  0.02489,  0.18859
46, 14, -0.12667,  0.25381, -0.02299,  0.02013,  0.19447
47, 10, -0.12296,  0.25093, -0.03454,  0.02802,  0.19133
48, 13, -0.12539,  0.26968, -0.01063,  0.01078,  0.1897
49, 14, -0.12667,  0.25381, -0.02299,  0.02013,  0.19447
50, 12, -0.1241,  0.26563, -0.0221,  0.01763,  0.18907
51, 13, -0.12539,  0.26968, -0.01063,  0.01078,  0.1897
52, 15, -0.1285,  0.25519, -0.01088,  0.01232,  0.19719
53, 14, -0.12667,  0.25381, -0.02299,  0.02013,  0.19447
54, 16, -0.10315,  0.27999, -0.00831,  0.00985,  0.17513
55, 8, -0.11217,  0.27898, -0.01055,  0.0108,  0.181
56, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
57, 16, -0.10315,  0.27999, -0.00831,  0.00985,  0.17513
58, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
59, 17, -0.10134,  0.27656, -0.01575,  0.0147,  0.17395
60, 18, -0.09611,  0.27909, -0.00668,  0.00914,  0.1703
61, 16, -0.10315,  0.27999, -0.00831,  0.00985,  0.17513
62, 17, -0.10134,  0.27656, -0.01575,  0.0147,  0.17395
63, 18, -0.09611,  0.27909, -0.00668,  0.00914,  0.1703
64, 17, -0.10134,  0.27656, -0.01575,  0.0147,  0.17395
65, 19, -0.09628,  0.27742, -0.01193,  0.01244,  0.17043
66, 20, -0.09649,  0.27161, -0.01932,  0.01828,  0.17022
67, 17, -0.10134,  0.27656, -0.01575,  0.0147,  0.17395
68, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
69, 20, -0.09649,  0.27161, -0.01932,  0.01828,  0.17022
70, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
71, 21, -0.10201,  0.26817, -0.02734,  0.02302,  0.17463
72, 21, -0.10201,  0.26817, -0.02734,  0.02302,  0.17463
73, 7, -0.10946,  0.27346, -0.02292,  0.01851,  0.1795
74, 5, -0.10976,  0.26242, -0.03613,  0.02809,  0.18015
75, 21, -0.10201,  0.26817, -0.02734,  0.02302,  0.17463
76, 5, -0.10976,  0.26242, -0.03613,  0.02809,  0.18015
77, 22, -0.10275,  0.26012, -0.03671,  0.03011,  0.17542
78, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
79, 22, -0.10275,  0.26012, -0.03671,  0.03011,  0.17542
80, 5, -0.10976,  0.26242, -0.03613,  0.02809,  0.18015
81, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
82, 23, -0.10118,  0.25281, -0.04489,  0.03582,  0.17505
83, 22, -0.10275,  0.26012, -0.03671,  0.03011,  0.17542
84, 24, -0.1269,  0.24278, -0.0241,  0.02272,  0.1991
85, 10, -0.12296,  0.25093, -0.03454,  0.02802,  0.19133
86, 14, -0.12667,  0.25381, -0.02299,  0.02013,  0.19447
87, 15, -0.1285,  0.25519, -0.01088,  0.01232,  0.19719
88, 24, -0.1269,  0.24278, -0.0241,  0.02272,  0.1991
89, 14, -0.12667,  0.25381, -0.02299,  0.02013,  0.19447
90, 24, -0.1269,  0.24278, -0.0241,  0.02272,  0.1991
91, 25, -0.12209,  0.2406, -0.03701,  0.03153,  0.19426
92, 10, -0.12296,  0.25093, -0.03454,  0.02802,  0.19133
93, 25, -0.12209,  0.2406, -0.03701,  0.03153,  0.19426
94, 3, -0.11545,  0.25049, -0.04362,  0.03372,  0.18557
95, 10, -0.12296,  0.25093, -0.03454,  0.02802,  0.19133
96, 25, -0.12209,  0.2406, -0.03701,  0.03153,  0.19426
97, 0, -0.11371,  0.23864, -0.04823,  0.03812,  0.18749
98, 3, -0.11545,  0.25049, -0.04362,  0.03372,  0.18557
99, 15, -0.1285,  0.25519, -0.01088,  0.01232,  0.19719
100, 26, -0.12962,  0.24366, -0.01154,  0.01358,  0.20176
101, 24, -0.1269,  0.24278, -0.0241,  0.02272,  0.1991
102, 23, -0.10118,  0.25281, -0.04489,  0.03582,  0.17505
103, 2, -0.108,  0.25177, -0.04655,  0.03573,  0.18018
104, 1, -0.10394,  0.23928, -0.05321,  0.0417,  0.17954
105, 23, -0.10118,  0.25281, -0.04489,  0.03582,  0.17505
106, 1, -0.10394,  0.23928, -0.05321,  0.0417,  0.17954
107, 27, -0.0978,  0.24317, -0.05191,  0.04048,  0.17399
108, 28, -0.08941,  0.2766, -0.00667,  0.00945,  0.16535
109, 18, -0.09611,  0.27909, -0.00668,  0.00914,  0.1703
110, 19, -0.09628,  0.27742, -0.01193,  0.01244,  0.17043
111, 18, -0.09611,  0.27909, -0.00668,  0.00914,  0.1703
112, 28, -0.08941,  0.2766, -0.00667,  0.00945,  0.16535
113, 29, -0.08872,  0.27739,  0.00017,  0.0051,  0.16489
114, 18, -0.09611,  0.27909, -0.00668,  0.00914,  0.1703
115, 29, -0.08872,  0.27739,  0.00017,  0.0051,  0.16489
116, 30, -0.09605,  0.27992,  0.00017,  0.00509,  0.17024
117, 16, -0.10315,  0.27999, -0.00831,  0.00985,  0.17513
118, 18, -0.09611,  0.27909, -0.00668,  0.00914,  0.1703
119, 30, -0.09605,  0.27992,  0.00017,  0.00509,  0.17024
120, 16, -0.10315,  0.27999, -0.00831,  0.00985,  0.17513
121, 30, -0.09605,  0.27992,  0.00017,  0.00509,  0.17024
122, 31, -0.1037,  0.28121,  0.00017,  0.00508,  0.17546
123, 28, -0.08941,  0.2766, -0.00667,  0.00945,  0.16535
124, 19, -0.09628,  0.27742, -0.01193,  0.01244,  0.17043
125, 32, -0.09164,  0.27459, -0.01311,  0.01381,  0.16682
126, 32, -0.09164,  0.27459, -0.01311,  0.01381,  0.16682
127, 19, -0.09628,  0.27742, -0.01193,  0.01244,  0.17043
128, 17, -0.10134,  0.27656, -0.01575,  0.0147,  0.17395
129, 32, -0.09164,  0.27459, -0.01311,  0.01381,  0.16682
