VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TEXCOORD0.x, TEXCOORD0.y
0, 0,  0.85626,  3.35308, -0.48516,  0.83464,  0.3467,  0.42799,  0.13353,  0.76511
1, 1,  1.09469,  2.24498, -0.05252,  0.83464,  0.3467,  0.42799,  0.13353,  0.76511
2, 2,  1.16354,  2.4271, -0.33431,  0.83464,  0.3467,  0.42799,  0.13353,  0.76511
3, 3, -1.6717,  2.12973,  0.51102, -0.26769, -0.20589,  0.94125,  0.13353,  0.76511
4, 4, -0.97307,  2.07359,  0.74951, -0.26769, -0.20589,  0.94125,  0.13353,  0.76511
5, 5, -0.57488,  3.0516,  1.02461, -0.26769, -0.20589,  0.94125,  0.13353,  0.76511
6, 3, -1.6717,  2.12973,  0.51102, -0.26769, -0.20589,  0.94125,  0.13353,  0.76511
7, 5, -0.57488,  3.0516,  1.02461, -0.26769, -0.20589,  0.94125,  0.13353,  0.76511
8, 6, -1.16085,  3.02116,  0.90337, -0.26769, -0.20589,  0.94125,  0.13353,  0.76511
9, 7,  0.17751,  1.64375, -0.43597,  0.03429, -0.99458, -0.09819,  0.13353,  0.76511
10, 8,  0.17361,  1.67196,  0.2411,  0.03429, -0.99458, -0.09819,  0.13353,  0.76511
11, 9, -0.60906,  1.58475, -0.11308,  0.03429, -0.99458, -0.09819,  0.13353,  0.76511
12, 7,  0.17751,  1.64375, -0.43597,  0.03429, -0.99458, -0.09819,  0.13353,  0.76511
13, 9, -0.60906,  1.58475, -0.11308,  0.03429, -0.99458, -0.09819,  0.13353,  0.76511
14, 10, -0.34902,  1.73831, -0.61351,  0.03429, -0.99458, -0.09819,  0.13353,  0.76511
15, 11, -0.06917,  3.26447,  0.8578,  0.08115,  0.72469,  0.68428,  0.13353,  0.76511
16, 12,  0.05748,  3.08149,  1.11738,  0.08115,  0.72469,  0.68428,  0.13353,  0.76511
17, 13,  0.27196,  3.04574,  1.049,  0.08115,  0.72469,  0.68428,  0.13353,  0.76511
18, 11, -0.06917,  3.26447,  0.8578,  0.08115,  0.72469,  0.68428,  0.13353,  0.76511
19, 13,  0.27196,  3.04574,  1.049,  0.08115,  0.72469,  0.68428,  0.13353,  0.76511
20, 14,  0.2849,  3.35768,  0.79792,  0.08115,  0.72469,  0.68428,  0.13353,  0.76511
21, 15,  0.2813,  3.52019,  0.28577, -0.1956,  0.93436,  0.29786,  0.13353,  0.76511
22, 16, -0.06917,  3.26447,  0.8578, -0.1956,  0.93436,  0.29786,  0.13353,  0.76511
23, 17,  0.2849,  3.35768,  0.79792, -0.1956,  0.93436,  0.29786,  0.13353,  0.76511
24, 18, -1.16085,  3.02116,  0.90337, -0.20032,  0.49953,  0.84282,  0.13353,  0.76511
25, 19, -0.57488,  3.0516,  1.02461, -0.20032,  0.49953,  0.84282,  0.13353,  0.76511
26, 20, -0.85628,  3.34735,  0.78243, -0.20032,  0.49953,  0.84282,  0.13353,  0.76511
27, 21, -1.94268,  1.85351,  0.29065, -0.75424,  0.19654,  0.62649,  0.13353,  0.76511
28, 22, -1.6717,  2.12973,  0.51102, -0.7641,  0.18605,  0.61768,  0.13353,  0.76511
29, 23, -1.5845,  2.65533,  0.47033, -0.7641,  0.18605,  0.61768,  0.13353,  0.76511
30, 21, -1.94268,  1.85351,  0.29065, -0.75424,  0.19654,  0.62649,  0.13353,  0.76511
31, 23, -1.5845,  2.65533,  0.47033, -0.7641,  0.18605,  0.61768,  0.13353,  0.76511
32, 24, -2.07065,  2.16061,  0.02104, -0.75424,  0.19654,  0.62649,  0.13353,  0.76511
33, 23, -1.5845,  2.65533,  0.47033, -0.7641,  0.18605,  0.61768,  0.13353,  0.76511
34, 22, -1.6717,  2.12973,  0.51102, -0.7641,  0.18605,  0.61768,  0.13353,  0.76511
35, 25, -1.16085,  3.02116,  0.90337, -0.77375,  0.1755,  0.6087,  0.13353,  0.76511
36, 26, -0.68281,  3.74632, -0.24856, -0.19059,  0.98046, -0.04869,  0.13353,  0.76511
37, 27, -0.76006,  3.76403,  0.41055, -0.19059,  0.98046, -0.04869,  0.13353,  0.76511
38, 28, -0.22308,  3.86052,  0.25166, -0.19059,  0.98046, -0.04869,  0.13353,  0.76511
39, 29, -1.94268,  1.85351,  0.29065, -0.79497, -0.4608, -0.39458,  0.13353,  0.76511
40, 30, -2.07065,  2.16061,  0.02104, -0.79497, -0.4608, -0.39458,  0.13353,  0.76511
41, 31, -1.93071,  2.31642, -0.27405, -0.79497, -0.4608, -0.39458,  0.13353,  0.76511
42, 29, -1.94268,  1.85351,  0.29065, -0.79497, -0.4608, -0.39458,  0.13353,  0.76511
